[SYS] 2026/09/05 - 11:47:05 | initializing token encoders 
[SYS] 2026/09/05 - 11:47:05 | token encoders initialized 
[SYS] 2026/09/05 - 11:47:05 | using PostgreSQL as database 
[SYS] 2026/09/05 - 11:47:05 | database migration started 
[SYS] 2026/09/05 - 11:47:07 | system is not initialized and no root user exists 
[SYS] 2026/09/05 - 11:47:07 | SYNC_FREQUENCY not set, use default value 60 
[SYS] 2026/09/05 - 11:47:07 | Redis is enabled 
[SYS] 2026/09/05 - 11:47:07 | i18n initialized with languages: zh-CN, zh-TW, en 
[SYS] 2026/09/05 - 11:47:07 | Loaded 0 custom OAuth providers 
[SYS] 2026/09/05 - 11:47:07 | KDex API  started 
[SYS] 2026/09/05 - 11:47:07 | memory cache enabled 
[SYS] 2026/09/05 - 11:47:07 | sync frequency: 60 seconds 
[SYS] 2026/09/05 - 11:47:07 | channels synced from database 
[SYS] 2026/09/05 - 11:47:07 | 正在更新数据看板数据... 
[SYS] 2026/09/05 - 11:47:07 | 保存数据看板数据成功，共保存0条数据 
[INFO] 2026/09/05 - 11:47:07 | SYSTEM | subscription quota reset task started: tick=1m0s 
[INFO] 2026/09/05 - 11:47:07 | SYSTEM | codex credential auto-refresh task started: tick=10m0s threshold=24h0m0s 
[SYS] 2026/09/05 - 11:47:07 | batch update enabled with interval 5s 
[INFO] 2026/09/05 - 11:47:07 | SYSTEM | system task runner started: runner=kdex-api-node-1-98rFlXy9 idle_interval=15s 

  [33mWarning: Refresh cookie is not secure and refresh/logout Origin validation is disabled. Please set SESSION_COOKIE_SECURE=true in production.[0m


  [32mKDex API [0m  ready in 2481 ms

  ➜  [1mNetwork:[0m http://172.19.0.4:3000/

[GIN] 2026/09/05 - 11:47:15 | api | 202609050347152533309688268d9d6nee4yAsN | 200 |    1.541725ms |    192.168.10.1 |     GET /api/status
[GIN] 2026/09/05 - 11:47:15 | api | 202609050347152541552188268d9d6MGESOWmn | 200 |    1.337043ms |    192.168.10.1 |     GET /api/notice
[GIN] 2026/09/05 - 11:47:15 | web | 202609050347159800223158268d9d64rNOHTAE | 200 |     703.146µs |    192.168.10.1 |     GET /
[GIN] 2026/09/05 - 11:47:16 | web | 202609050347160373598888268d9d6Gg2ZPknD | 200 |  137.359515ms |    192.168.10.1 |     GET /static/js/index.99ed7f6080.js
[GIN] 2026/09/05 - 11:47:16 | api | 202609050347162862251328268d9d6cDTVr4vc | 200 |    1.017087ms |    192.168.10.1 |     GET /api/status
[GIN] 2026/09/05 - 11:47:16 | api | 202609050347162925759848268d9d6peq9HwpM | 401 |    2.048673ms |    192.168.10.1 |    POST /api/user/auth/refresh
[GIN] 2026/09/05 - 11:47:16 | web | 202609050347163415735948268d9d6UeRpnpa1 | 200 |    4.980006ms |    192.168.10.1 |     GET /static/js/async/1402.df177f4e48.js
[GIN] 2026/09/05 - 11:47:16 | api | 202609050347163877827858268d9d6luvs18iz | 200 |     621.521µs |    192.168.10.1 |     GET /api/status
[GIN] 2026/09/05 - 11:47:16 | api | 202609050347163949841198268d9d6QGjFYZvw | 200 |     846.328µs |    192.168.10.1 |     GET /api/status
[GIN] 2026/09/05 - 11:47:16 | api | 202609050347163961985788268d9d6M1aNTLjy | 200 |     459.024µs |    192.168.10.1 |     GET /api/home_page_content
[GIN] 2026/09/05 - 11:47:16 | api | 202609050347163953438578268d9d6wf4j1OUc | 200 |    1.396892ms |    192.168.10.1 |     GET /api/notice
[GIN] 2026/09/05 - 11:47:32 | api | 202609050347325516548538268d9d6xBEm5vjF | 200 |    2.433662ms |    192.168.10.1 |    POST /api/user/login?turnstile=
[GIN] 2026/09/05 - 11:47:35 | api | 202609050347356871716548268d9d6not6h5bm | 200 |     366.628µs |             ::1 |     GET /api/status
[GIN] 2026/09/05 - 11:47:39 | api | 202609050347396224888628268d9d6ocZAGjCu | 200 |     499.222µs |    192.168.10.1 |     GET /api/home_page_content
[GIN] 2026/09/05 - 11:47:56 | api | 202609050347568337821858268d9d6IjfGOJ9c | 200 |     677.629µs |    192.168.10.1 |     GET /api/status
[GIN] 2026/09/05 - 11:48:03 | api | 202609050348031052751538268d9d6UBsUzBxP | 200 |     405.667µs |    192.168.10.1 |     GET /api/home_page_content
[GIN] 2026/09/05 - 11:48:04 | api | 202609050348044092692828268d9d65AOGUEQo | 200 |      983.05µs |    192.168.10.1 |     GET /api/about
[GIN] 2026/09/05 - 11:48:05 | api | 202609050348057638445598268d9d6uGv3dBPk | 200 |     338.343µs |             ::1 |     GET /api/status
[SYS] 2026/09/05 - 11:48:07 | syncing channels from database 
[SYS] 2026/09/05 - 11:48:07 | syncing options from database 
[SYS] 2026/09/05 - 11:48:08 | channels synced from database 
[GIN] 2026/09/05 - 11:48:20 | api | 202609050348203373609548268d9d6xadax1Zm | 401 |     609.877µs |   192.168.10.11 |    POST /api/user/auth/refresh
[GIN] 2026/09/05 - 11:48:20 | api | 202609050348203833077968268d9d6R930mE9P | 200 |     648.079µs |   192.168.10.11 |     GET /api/status
[GIN] 2026/09/05 - 11:48:20 | api | 202609050348203842523728268d9d6QAUCGNpb | 200 |     372.191µs |   192.168.10.11 |     GET /api/notice
[GIN] 2026/09/05 - 11:48:20 | api | 202609050348203870773608268d9d63Hy6Drdb | 401 |     482.562µs |   192.168.10.11 |     GET /api/data/self?start_timestamp=1788419926&end_timestamp=1788506326&default_time=hour
[GIN] 2026/09/05 - 11:48:20 | api | 202609050348203913379168268d9d6bVY8Dsj4 | 401 |     400.479µs |   192.168.10.11 |     GET /api/token/?p=1&size=10
[GIN] 2026/09/05 - 11:48:20 | api | 202609050348203915403708268d9d6pGuZVJnb | 401 |     646.719µs |   192.168.10.11 |     GET /api/user/models
[GIN] 2026/09/05 - 11:48:20 | api | 202609050348204049885948268d9d6TrAAPK5b | 401 |     713.184µs |   192.168.10.11 |    POST /api/user/auth/refresh
[GIN] 2026/09/05 - 11:48:20 | web | 202609050348204422953838268d9d6gIztFUsx | 200 |     432.904µs |   192.168.10.11 |     GET /sign-in
[GIN] 2026/09/05 - 11:48:20 | web | 202609050348204833409618268d9d6UnrRUC6o | 200 |  140.244609ms |   192.168.10.11 |     GET /static/js/index.99ed7f6080.js
[GIN] 2026/09/05 - 11:48:20 | api | 202609050348207590132478268d9d60yzaHP7U | 200 |     526.588µs |   192.168.10.11 |     GET /api/status
[GIN] 2026/09/05 - 11:48:20 | api | 202609050348207708117908268d9d6X7Qftciy | 401 |     534.558µs |   192.168.10.11 |    POST /api/user/auth/refresh
[GIN] 2026/09/05 - 11:48:20 | api | 202609050348208121398738268d9d6gHNTr4QA | 200 |     987.772µs |   192.168.10.11 |     GET /api/status
[GIN] 2026/09/05 - 11:48:20 | api | 202609050348208175124648268d9d62Mq6oZCq | 200 |     468.523µs |   192.168.10.11 |     GET /api/status
[GIN] 2026/09/05 - 11:48:27 | web | 202609050348277867284678268d9d6z6OGGcaf | 200 |     420.547µs |   192.168.10.11 |     GET /sign-in
[GIN] 2026/09/05 - 11:48:27 | web | 202609050348277955263748268d9d6IJ6tZ3WJ | 200 |   13.934135ms |   192.168.10.11 |     GET /static/css/4590.10e003a7e2.css
[GIN] 2026/09/05 - 11:48:27 | web | 202609050348277953491888268d9d6uFDjjJyD | 200 |   20.315191ms |   192.168.10.11 |     GET /static/js/vendor-tanstack.74c48f25c5.js
[GIN] 2026/09/05 - 11:48:27 | web | 202609050348277982873738268d9d6SCxAFPJJ | 200 |   31.434708ms |   192.168.10.11 |     GET /static/css/index.072e9367ba.css
[GIN] 2026/09/05 - 11:48:27 | web | 202609050348277950068548268d9d6GFXIDbT9 | 200 |     36.8385ms |   192.168.10.11 |     GET /static/js/vendor-ui-primitives.b17b3046c5.js
[GIN] 2026/09/05 - 11:48:27 | web | 202609050348277982850648268d9d61RkcAZSb | 200 |   39.345623ms |   192.168.10.11 |     GET /static/js/lib-react.064bab1680.js
[GIN] 2026/09/05 - 11:48:27 | web | 202609050348278040580378268d9d6pjEAkrS7 | 200 |   46.603681ms |   192.168.10.11 |     GET /static/js/4590.3ae4c7729c.js
